product_code,title,description,hashtags,features,price,url
AAP202250902TWA,방콕/파타야 5일 #첫여행추천 #5성호텔 #니모섬스노클링 #파타야쇼 #핫플레스토랑 #빅C마트,"방콕&파타야를 처음 방문하시거나 왕궁, 니모섬 등의 핵심관광지를 제대로 즐기고 싶은 분들에게 추천하는 상품입니다.",#관광+자유#관광 #관광 #신비로운니모섬#아름다운방콕#여유로운휴식#방콕파타야여행#니모섬스노클링#파타야핫플여행#파타야핫플레스토랑#농눅빌리지체험#아시아티크야경투어,"3박 5일, LCC, 쇼핑없음, 단체여행, 가이드경비없음, 선택관광있음","749,000",https://hope.hanatour.com/trp/pkg/CHPC0PKG0200M200?pkgCd=AAP202250902TWA&prePage=major-products
AAP200250906TWL,[출발확정][타임세일] 방콕/파타야 5일 #가볍게떠나는여행#무앙보란#농눅빌리지#산호섬#아시아티크,※알찬 가격으로 방콕/파타야 핵심 관광지를 모두 체험하는 일정입니다.,#관광 #관광 #태국의문화탐방#설레는여행#황홀한바다#방콕파타야여행#무앙보란관광#산호섬물놀이#아시아티크야시장#농눅빌리지체험#파타야수상시장,"3박 5일, LCC, 쇼핑 3회, 단체여행, 가이드경비 USD 50, 선택관광있음","249,000",https://hope.hanatour.com/trp/pkg/CHPC0PKG0200M200?pkgCd=AAP200250906TWL&prePage=major-products
ACP200250901OZ1,치앙마이/치앙라이 5일#가성비추천 #3色사원 #4성급호텔#핵심일정#코끼리 먹이주기 체험,합리적인 가격으로 태국 치앙마이 및 치앙라이 지역의 핵심일정을 즐길 수 있는 상품입니다.,#지속가능한 여행 #관광 #아름다운태국의풍경#여유로운여행시간#설레는가이드미팅#치앙마이여행#태국관광명소#골든트라이앵글투어#왓프라탓도이수텝#백색사원#청색사원투어,"3박 5일, 국적기, 쇼핑 3회, 단체여행, 가이드경비 USD 50, 선택관광있음","499,000",https://hope.hanatour.com/trp/pkg/CHPC0PKG0200M200?pkgCd=ACP200250901OZ1&prePage=major-products
APP2302509017CM,[스마트 초이스] 보홀 5일 #헤난타왈라 #전신마사지 #다이빙강습 #알로나비치 #보홀시티투어 #리조트디너 #특식2회,"온전한 대자연의 땅, 나무, 바다. 이토록 뻔한 자연이 주는 매일매일의 참신함. 나를 나답게 여행을 여행답게 만드는 보홀을 만나 보세요.",#휴양+레저 #관광 #여유로운해변일출#설레는여행추억#편안한휴식시간#필리핀여행#보홀체험투어#보홀관광명소#헤난타왈라리조트#보홀고래상어투어#오션디스커버리호핑,"3박 5일, LCC, 쇼핑 2회, 단체여행, 자유일정포함, 가이드경비 USD 50, 선택관광있음","459,000",https://hope.hanatour.com/trp/pkg/CHPC0PKG0200M200?pkgCd=APP2302509017CM&prePage=major-products
APP2382509017CE,보홀 5일 #라메디 #신규오픈 #다이빙강습 #알로나비치 #보홀시티투어 #특식2회,"온전한 대자연의 땅, 나무, 바다. 이토록 뻔한 자연이 주는 매일매일의 참신함. 나를 나답게 여행을 여행답게 만드는 보홀을 만나 보세요.",#휴양+레저 #관광 #여유로운여행#편안한물놀이#감탄을자아내는해변#보홀여행#필리핀체험다이빙#보홀알로나비치#라메디리조트#보홀고래상어투어#보홀국립박물관관람,"3박 5일, LCC, 쇼핑 2회, 단체여행, 자유일정포함, 가이드경비 USD 50, 선택관광있음","199,000",https://hope.hanatour.com/trp/pkg/CHPC0PKG0200M200?pkgCd=APP2382509017CE&prePage=major-products
AVP231250901LJA,[출발확정/한정특가] 다낭 5일 #시내 4성호텔 #바나힐 테마파크 #호이안 #전신마사지 #캔들라이트 디너,"바나힐 테마파크, 호이안, 시내명소까지 다낭의 핵심 관광지를 둘러보는 실속 패키지입니다.",#관광 #관광 #여유로운휴식#두근두근여행#환상적인풍경#다낭여행필수코스#호이안투어추천#바나힐체험#다낭맛집투어#호이안올드타운#바나힐테마파크,"3박 5일, LCC, 쇼핑 3회, 단체여행, 가이드경비 USD 40, 선택관광있음","259,000",https://hope.hanatour.com/trp/pkg/CHPC0PKG0200M200?pkgCd=AVP231250901LJA&prePage=major-products
AVP231250901LJE,[출발확정] 다낭 5일 #M호텔 #미케비치 신규5성 #바나힐 테마파크 #호이안 #스톤마사지 #다낭타워 씨푸드,"미케비치 앞 신규 오픈한 5성급 M호텔 숙박과 다낭&호이안 핵심 관광, 다낭타워 씨푸드 특식이 포함된 상품입니다.",#관광 #관광 #환상적인풍경#여유로운하루#맛있는여행#다낭여행특가#호이안관광코스#바나힐체험여행#다낭M호텔#호이안올드타운투어#바나힐테마파크,"3박 5일, LCC, 쇼핑 3회, 단체여행, 가이드경비 USD 40, 선택관광있음","449,000",https://hope.hanatour.com/trp/pkg/CHPC0PKG0200M200?pkgCd=AVP231250901LJE&prePage=major-products
AVP209250901VJW,[출발확정]하노이/하롱베이 5일 #맛있는여행 #전일정5성호텔UP #메가그랜드월드 #해안도로산책 #데이크루즈&런치뷔페 #1일1간식 #루프탑바푸드트럭,전일정 엄선한 5성급 호텔에서 숙박하며 하롱베이에서는 크루즈를 탑승하여 그림같은 풍경을 즐길 수 있습니다.베트남의 대표적인 음식과 간식이 두루 포함되어 있는 맛있는 여행입니다!,#관광 #맛있는여행#행복한추억#여유로운하루#하노이여행#하롱베이관광#베트남미식여행#하롱베이프리미엄크루즈#소수민족박물관탐방#하노이예술거리,"3박 5일, 외국항공, 쇼핑 3회, 단체여행, 가이드경비 USD 40, 선택관광있음","369,000",https://hope.hanatour.com/trp/pkg/CHPC0PKG0200M200?pkgCd=AVP209250901VJW&prePage=major-products
ATP3202509017CQ,[공식인증전용] 대만/야류/지우펀 3박 5일#화산1914 #단수이#스펀천등날리기,실속있는 요금으로 즐기는 대만 여행 상품입니다.,#관광 #관광 #도심속여유#설레는여행#해외여행의감동#대만여행추천#부산타이베이여행#관광명소탐방#단수이홍마오청#야류해양국립공원#국립고궁박물관,"3박 5일, LCC, 쇼핑 2회, 단체여행, 가이드경비 USD 40, 선택관광있음","449,900",https://hope.hanatour.com/trp/pkg/CHPC0PKG0200M200?pkgCd=ATP3202509017CQ&prePage=major-products
ATP214250901LJB,대만/야류/지우펀/우라이 4일 #101타워#케이블카#발마사지#까르푸자유쇼핑,"하나투어가 엄선한 호텔과 다양한 특식, 타이페이 랜드마크인 101타워 전망대까지 포함된 대만 BEST OF BEST 상품입니다.",#관광 #관광 #미식의향연#편안한여정#설레는여행기억#대만여행추천#타이베이에이전시투어#전통미식여행#지우펀야경투어#국립고궁박물관방문#우라이마을탐방,"3박 4일, LCC, 쇼핑없음, 단체여행, 가이드경비없음, 선택관광있음","819,900",https://hope.hanatour.com/trp/pkg/CHPC0PKG0200M200?pkgCd=ATP214250901LJB&prePage=major-products
